Code;Station
1.01;Haarlem
1.02;HeemstedeAerdenhout
10.01;Haarlem Spaarnwoude
10.02;Amsterdam Sloterdijk
10.03;Amsterdam CS
10.04;Amsterdam Muiderpoort
10.05;Amsterdam Science Park
10.06;Diemen
10.07;Zandvoort
10.08;Overveen
10.09;Halfweg-Zwanenburg
10.10;Bloemendaal
10.11;Santpoort Zuid
10.12;Santpoort Noord
10.13;Driehuis
10.14;Beverwijk
10.15;Heemskerk
12.03;Hilversum Sportpark
12.04;Hilversum
12.05;Hilversum Media Park
12.06;Bussum Zuid
12.07;Naarden-Bussum
13.01;Zaandam
13.02;Koog aan de Zaan
13.03;Zaandijk Zaanse Schans
13.05;KrommenieAssendelft
13.06;Uitgeest
13.07;Castricum
13.08;Heiloo
13.09;Alkmaar
13.14;Wormerveer
14.01;Zaandam Kogerveld
14.02;Purmerend Weidevenne
14.03;Purmerend
14.04;Purmerend Overwhere
14.05;Hoorn
14.06;Hoorn Kersenboogerd
14.07;Hoogkarspel
14.08;Bovenkarspel Grootebroek
14.09;Bovenkarspel Flora
14.10;Enkhuizen
14a;Purmerend tramplein
14b;Amsterdam Buikslotermeerplein
15.01;Alkmaar Noord
15.02;Heerhugowaard
15.03;Schagen
15.04;Anna Paulowna
15.05;Den Helder Zuid
15.06;Den Helder
15.07;Obdam
2.01;Schiphol Airport
2.02;Hoofddorp
2.03;Nieuw Vennep
2.10;Amsterdam Lelylaan
2a;Haarlem Schalkwijk
2b;Amstelveen busstation
8.01;Amsterdam Zuid
8.02;Amsterdam RAI
8.03;Duivendrecht
8.04;Diemen Zuid
8.05;Weesp
9.01;Amsterdam Amstel
9.02;Amsterdam BijlmerArena
9.03;Amsterdam Holendrecht
