agency_name;route_short_name;route_long_name;Type;bus_type;route_id;<-- REMARK;col_7;REMARK -->;route_short_name_1;route_long_name_1;route_id_1
Overal (Connexxion);1;Alkmaar Station - de Hoef;Stadsbus;2;63662;;;route_id?;1;Station - De Hoef;60805
Connexxion;1;Hilversum Station - Kerkelanden;Stadsbus;2;1744;;;;1;Station - Centrum - Kerkelanden;1744
Connexxion;2;Spaarnwoude Station - Haarlem Delftplein;Stadsbus;2;52505;;;;2;Haarlem Spaarnwoude - Station - Delftplein;52505
Connexxion;2;Hilversum Station - Erfgooierskwartier;Stadsbus;2;1742;;;;2;Station - Over 't Spoor - Erfgooierskwartier;1742
Overal (Connexxion);2;Alkmaar Daalmeer - Station - Overdie;Stadsbus;2;60813;;;;2;Overdie - Kooimeer - Ziekenhuis - Station - Huiswaard - 't Rak - Daalmeer;60813
Connexxion;3;Schalkwijk Centrum - IJmuiden;Stadsbus;2;67294;now 68987;;68987;3;Haarlem Schalkwijk - Station - Delftplein - Velserbroek - Santpoort - IJmuiden;60812
Connexxion;3;Hilversum Station - Tergooi Ziekenhuis;Stadsbus;2;1743;;;;3;Station → Sportpark → Ziekenhuis → Liebergerweg → Station;1743
Overal (Connexxion);3;Alkmaar Station - De Mare - Daalmeer;Stadsbus;2;63658;now 71447;;71447;3;Station - Zeswielen - Station Noord - Huiswaard - De Horn - Daalmeer;52504
Connexxion;4;Schalkwijk Centrum - Station Heemstede-Aerdenhout;Stadsbus;2;52502;;;;4;Heemstede Station - De Glip - Haarlem Schalkwijk;52502
Overal (Connexxion);4;Alkmaar Station - Vroonermeer - Daalmeer;Stadsbus;2;60814;;;;4;Station - Zeswielen - Station Noord - Vroonermeer - Daalmeer;60814
Connexxion;8;Haarlem Station - Hogeschool INHOLLAND;Stadsbus;2;52501;;;;8;Haarlem Station - Hogeschool INHOLLAND;52501
Overal (Connexxion);8;Alkmaar Station - Bestevaerstraat;Stadsbus;2;60811;;;;8;Station - Ziekenhuis - Zuid - Overdie;60811
Connexxion;9;Vogelenzang Dorp - Station Heemstede-Aerdenhout;Stadsbus;2;52500;;;;9;Heemstede - Aerdenhout - Vogelenzang;52500
Overal (Connexxion);10;St. Pancras - Alkmaar Station;Stadsbus;2;63632;;;;10;Station - Oudorp - Sint Pancras;60793
Overal (Connexxion);11;Hoorn Station - Zwaag Risdam;Stadsbus;2;63633;;;;11;Station - Blokmergouw - Zwaag;60794
Overal (Connexxion);14;Luslijn Hoorn Station - Kersenboogerd;Stadsbus;2;63634;;;;14;Station - Centrum - Kersenboogerd;60795
Connexxion;14;Hillegom Station - Haarlemmerl. Pont Buitenhuizen;Stadsbus;2;63674;now 68918;;68918;14;Hillegom - Vogelenzang - Bennebroek - Heemstede - Haarlem - Spaarndam - Haarlemmerliede;52489
Connexxion;15;Haarlem Station - Waarderpolder - Spaarnwoude St.;Stadsbus;2;52491;;;;15;Haarlem Station - Waarderpolder - Spaarnwoude;52491
GVB;15;Station Sloterdijk - Station Zuid;Stadsbus;2;473;;;;15;Station Sloterdijk - Bos en Lommer - Haarlemmermeerstation - Station Zuid;473
GVB;18;Slotervaart - Centraal Station;Stadsbus;2;482;;;;18;Centraal Station - Haarlemmerplein - Nieuw-West - Slotervaart;482
GVB;21;Geuzenveld - Centraal Station;Stadsbus;2;449;;;;21;Centraal Station - Haarlemmerplein - Bos en Lommer - Geuzenveld;449
GVB;22;Station Sloterdijk - Muiderpoortstation;Stadsbus;2;60659;;;;22;Station Sloterdijk - Spaarndammerbuurt - Centraal Station - Indische Buurt - Muiderpoortstation;60659
GVB;30;Bestel via mokumflex.nl - Bestel via mokumflex.nl;;;63212;Mokumflex= niet meenemen;;;;;
Overal (Connexxion);30;Den Helder Station - Station Zuid - Julianadorp;Stadsbus;2;63644;;;;30;Station - Ziekenhuis - Station Zuid - Julianadorp;60800
GVB;31;Bestel via mokumflex.nl - Bestel via mokumflex.nl;;;63213;Mokumflex= niet meenemen;;;;;
Overal (Connexxion);31;Den Helder Station Zuid - Den Helder Station;Stadsbus;2;60783;;;;31;Station - Ziekenhuis - Nieuw-Den Helder - Station Zuid;60783
Overal (Connexxion);33;Den Helder Station - Veerhaven;Stadsbus;2;61050;;;;33;Station - Veerhaven;61050
GVB;34;Olof Palmeplein - Meeuwenlaan;Stadsbus;2;61514;;;;34;Olof Palmeplein - Metro Noord - Banne Buiksloot - Noorderpark;61514
Overal (Connexxion);34;Den Helder Station - De Schooten;Stadsbus;2;63676;;;;34;Station - De Schooten;60829
GVB;35;Olof Palmeplein - Nieuwendam - Noorderpark - Molenwijk;Stadsbus;2;61515;started on 29-06-2020;;started on 29-06-2020;35;Olof Palmeplein - Nieuwendam - Noorderpark - Molenwijk;61515
GVB;36;Station Sloterdijk - Buikslotermeerplein;Stadsbus;2;63691;;;;36;Station Sloterdijk - Molenwijk - Metro Noord - Buikslotermeerplein;60675
GVB;37;Amstelstation - Station Noord;Stadsbus;2;60658;;;;37;Metro Noord - Buikslotermeerplein - Zeeburgereiland - Muiderpoortstation - Amstelstation;60658
GVB;38;Buiksloterham - Station Noord;Stadsbus;2;60677;;;;38;Buiksloterham - Buiksloterwegveer - Olof Palmeplein - Metro Noord;60677
GVB;40;Amstelstation - Muiderpoortstation;Stadsbus;2;6139;;;;40;Amstelstation - Watergraafsmeer - Science Park - Muiderpoortstation;6139
GVB;41;Station Holendrecht - Muiderpoortstation;Stadsbus;2;30633;;;;41;Muiderpoortstation - Watergraafsmeer - Duivendrecht - Kraaiennest - Station Holendrecht;30633
GVB;44;Station Bijlmer ArenA - Diemen Noord;Stadsbus;2;460;;;;44;Bijlmer ArenA - Station Diemen Zuid - Diemen Centrum - Diemen Noord;460
GVB;47;Station Holendrecht - Station Bijlmer ArenA;Stadsbus;2;462;;;;47;Bijlmer ArenA - Gaasperplas - Station Gein - Station Holendrecht;462
GVB;48;Houthavens - Borneo Eiland;Stadsbus;2;30632;;;;48;Houthaven - Spaarndammerbuurt - Haarlemmerplein - Centraal Station - KNSM-Eiland - Borneo Eiland;30632
GVB;49;Station Bijlmer ArenA - Station Weesp;Stadsbus;2;439;;;;49;Bijlmer ArenA - Gaasperplas - Driemond - Weesp Station;439
Arriva;50;Leiden Centraal - Haarlem;Streekbus;1;5444;;;;50;Leiden - Warmond - Sassenheim - Lisse - Hillegom - Bennebroek - Heemstede - Haarlem;5444
GVB;55;Station Zuid - Amstelveen;Stadsbus;2;63197;"starts 29-06-20 but now cancelled; 67608";;;;;
Connexxion;56;Zaandam Station via Prins Bernhardbrug;Stadsbus;2;67276;now cancelled 21-06-20;;;;;
Arriva;57;Nieuw-Vennep via Noordwijkerhout - Leiden Centraal;Streekbus;1;42396;;;;;;
U-OV;58;Hilversum - Zeist;Streekbus;1;67117;U-OV reed t/m 2 januari 2021,  hierna Syntus;;;;;
Connexxion;59;Hilversum - Zeist;Streekbus;1;67118;Connexxion reed t/m 2 januari 2021,  hierna Syntus;;;;;
