geometry;hub;index_right;stop_id
POLYGON ((52.21457299999999 5.186060988275, 52.21457299999999 5.190726602344999, 52.21705716229999 5.190726602344999, 52.21705716229999 5.186060988275, 52.21457299999999 5.186060988275));12.03;29526;54328
POLYGON ((52.21457299999999 5.186060988275, 52.21457299999999 5.190726602344999, 52.21705716229999 5.190726602344999, 52.21705716229999 5.186060988275, 52.21457299999999 5.186060988275));12.03;39832;54329
POLYGON ((52.21457299999999 5.186060988275, 52.21457299999999 5.190726602344999, 52.21705716229999 5.190726602344999, 52.21705716229999 5.186060988275, 52.21457299999999 5.186060988275));12.03;52816;stoparea:18193
POLYGON ((52.21457299999999 5.186060988275, 52.21457299999999 5.190726602344999, 52.21705716229999 5.190726602344999, 52.21705716229999 5.186060988275, 52.21457299999999 5.186060988275));12.03;14460;54327
POLYGON ((52.21457299999999 5.186060988275, 52.21457299999999 5.190726602344999, 52.21705716229999 5.190726602344999, 52.21705716229999 5.186060988275, 52.21457299999999 5.186060988275));12.03;33765;354222
POLYGON ((52.21457299999999 5.186060988275, 52.21457299999999 5.190726602344999, 52.21705716229999 5.190726602344999, 52.21705716229999 5.186060988275, 52.21457299999999 5.186060988275));12.03;22793;1046802
POLYGON ((52.21457299999999 5.186060988275, 52.21457299999999 5.190726602344999, 52.21705716229999 5.190726602344999, 52.21705716229999 5.186060988275, 52.21457299999999 5.186060988275));12.03;2998;672145
POLYGON ((52.21457299999999 5.186060988275, 52.21457299999999 5.190726602344999, 52.21705716229999 5.190726602344999, 52.21705716229999 5.186060988275, 52.21457299999999 5.186060988275));12.03;51848;stoparea:36627
POLYGON ((52.21457299999999 5.186060988275, 52.21457299999999 5.190726602344999, 52.21705716229999 5.190726602344999, 52.21705716229999 5.186060988275, 52.21457299999999 5.186060988275));12.03;66143;stoparea:124113
POLYGON ((52.21457299999999 5.186060988275, 52.21457299999999 5.190726602344999, 52.21705716229999 5.190726602344999, 52.21705716229999 5.186060988275, 52.21457299999999 5.186060988275));12.03;65250;stoparea:197193
POLYGON ((52.21457299999999 5.186060988275, 52.21457299999999 5.190726602344999, 52.21705716229999 5.190726602344999, 52.21705716229999 5.186060988275, 52.21457299999999 5.186060988275));12.03;18774;1330395
POLYGON ((52.21457299999999 5.186060988275, 52.21457299999999 5.190726602344999, 52.21705716229999 5.190726602344999, 52.21705716229999 5.186060988275, 52.21457299999999 5.186060988275));12.03;798;665099
POLYGON ((52.21457299999999 5.186060988275, 52.21457299999999 5.190726602344999, 52.21705716229999 5.190726602344999, 52.21705716229999 5.186060988275, 52.21457299999999 5.186060988275));12.03;18123;415909
POLYGON ((52.38422199999999 4.744366, 52.38422199999999 4.75214, 52.386488 4.75214, 52.386488 4.744366, 52.38422199999999 4.744366));10.09;1799;1420137
POLYGON ((52.38422199999999 4.744366, 52.38422199999999 4.75214, 52.386488 4.75214, 52.386488 4.744366, 52.38422199999999 4.744366));10.09;51717;stoparea:120481
POLYGON ((52.38422199999999 4.744366, 52.38422199999999 4.75214, 52.386488 4.75214, 52.386488 4.744366, 52.38422199999999 4.744366));10.09;10791;363862
POLYGON ((52.38422199999999 4.744366, 52.38422199999999 4.75214, 52.386488 4.75214, 52.386488 4.744366, 52.38422199999999 4.744366));10.09;52862;stoparea:18248
POLYGON ((52.38422199999999 4.744366, 52.38422199999999 4.75214, 52.386488 4.75214, 52.386488 4.744366, 52.38422199999999 4.744366));10.09;21815;89072
POLYGON ((52.38422199999999 4.744366, 52.38422199999999 4.75214, 52.386488 4.75214, 52.386488 4.744366, 52.38422199999999 4.744366));10.09;21461;89070
POLYGON ((52.38422199999999 4.744366, 52.38422199999999 4.75214, 52.386488 4.75214, 52.386488 4.744366, 52.38422199999999 4.744366));10.09;24203;89071
POLYGON ((52.345607 4.917012000000001, 52.345607 4.920037, 52.347755 4.920037, 52.347755 4.917012000000001, 52.345607 4.917012000000001));9.01;58547;stoparea:235954
POLYGON ((52.345607 4.917012000000001, 52.345607 4.920037, 52.347755 4.920037, 52.347755 4.917012000000001, 52.345607 4.917012000000001));9.01;22064;1421073
POLYGON ((52.345607 4.917012000000001, 52.345607 4.920037, 52.347755 4.920037, 52.347755 4.917012000000001, 52.345607 4.917012000000001));9.01;46095;1523002
POLYGON ((52.345607 4.917012000000001, 52.345607 4.920037, 52.347755 4.920037, 52.347755 4.917012000000001, 52.345607 4.917012000000001));9.01;23928;1533279
POLYGON ((52.345607 4.917012000000001, 52.345607 4.920037, 52.347755 4.920037, 52.347755 4.917012000000001, 52.345607 4.917012000000001));9.01;15782;1236843
POLYGON ((52.345607 4.917012000000001, 52.345607 4.920037, 52.347755 4.920037, 52.347755 4.917012000000001, 52.345607 4.917012000000001));9.01;24214;53867
POLYGON ((52.345607 4.917012000000001, 52.345607 4.920037, 52.347755 4.920037, 52.347755 4.917012000000001, 52.345607 4.917012000000001));9.01;14400;79658
